,40.7644228,-73.9923918
Mount Holly,33.3026262,-92.9548857
Mississauga,43.5903380,-79.6457290
Balzac,51.2156111,-114.0045579
Middleburg Heights,41.3614401,-81.8129120
North Olmsted,41.4156025,-81.9234726
Montréal-Est,45.6309797,-73.4977437
Mount Mourne,35.5431922,-80.8472956
McFarland,35.6780104,-119.2292748
Saint-Clet,48.6644050,-3.1327265
Spring Valley,49.9434919,-105.4002706
Vaughan,53.1152862,-9.1487092
Mount Lebanon,32.5037644,-93.0490508
North Versailles,40.3797913,-79.8094916
Welshfield,41.3869987,-81.1423212
Harrisburg,40.2663107,-76.8861122
North Randall,41.4344240,-81.5254920
McKees Rocks,40.4656244,-80.0656106
King,51.0676000,-0.7233310
Saint-Hyacinthe,45.6274840,-72.9406360
Chagrin Falls,41.4139426,-81.3865008
Charlotte,-36.4354695,148.3321610
Lane,51.9170805,-8.4467774
Sainte-Marguerite-du-Lac-Masson,46.0312960,-74.0571210
L'Île-Perrot,45.3964210,-73.9681428
Garfield Heights,41.4169974,-81.6059581
Bradford West Gwillimbury,,
Beachwood,30.8599028,-91.3687236
Mentor-on-the-Lake,41.7050450,-81.3603860
Warrensville Heights,41.4353500,-81.5148240
Shoreland,41.9017091,-86.6108563
Neville Township,,
Las Vegas,36.1672559,-115.1485163
Montréal,46.1866471,5.5705397
Laval,48.0710377,-0.7723499
Moon Township,40.5061000,-80.2082000
Dollard-Des-Ormeaux,,
Kahnawá:ke,45.4151027,-73.6773438
Enterprise,64.4833330,-113.1666670
Cleveland Heights,31.5862849,-84.1740748
Montréal-Ouest,45.4528530,-73.6442548
Chandler,33.2119977,-111.6862444
Markham,52.3502599,-7.8349623
Penn Hills,40.4729398,-79.8176723
Paradise,53.0337733,-110.2969851
Gilbert,45.5496538,6.2851284
Desert Villas,33.3528246,-111.9743106
Sun Prairie,43.1834579,-89.2134359
Plum,47.8378469,-2.6396508
Mesa,40.5588290,17.8083130
Concord,43.2071780,-71.5374760
Indus,34.8090485,32.4468952
Surprise,59.6166670,-133.4166670
Huntersville,46.7757920,-94.8927939
Nellis Air Force Base,,
Rosemère,45.6323155,-73.8052338
Mack,51.0585160,-2.6729591
Cleveland,41.5051613,-81.6934446
Matthews,45.6277079,-111.0843930
South Fayette Township,40.3574672,-80.1662598
East Hawkesbury,,
Collier Township,40.4009261,-80.1305069
glen view estates,33.5386838,-112.2222894
Notre-Dame-de-l'Île-Perrot,,
Sunrise Manor,36.2110473,-115.0731314
Orange,44.1371311,4.8078783
Upper St. Clair,40.3359029,-80.0833881
Urbana,45.1941310,11.4453492
Fountain Hills,33.6117105,-111.7173613
Châteauguay,45.3619066,-73.7524319
Mount Horeb,-35.2068285,148.0348274
Rostraver Township,,
Monroeville,31.5157180,-87.3535972
Baie-D'Urfé,45.4174258,-73.9153643
Rock Hill,38.6075525,-90.3784505
Newbury,51.4020055,-1.3236425
Lakewood,47.1714085,-122.5164000
Orchard Grove,41.2571712,-111.9749540
Saint-Jean-sur-Richelieu,45.3056879,-73.2533401
Havelock,46.4747289,-102.7437754
Cave Creek,33.8333716,-111.9507042
North Strabane Township,,
Calgary,29.8635579,-95.3146580
Pepper Pike,41.4783870,-81.4637300
Mint Hill,38.5492097,-91.7471163
East Gwillimbury,,
Sheffield,51.0025016,0.0109500
Saint-Joseph-du-Lac,45.5334441,-74.0060356
Henderson,37.4793824,-122.1655200
Nottingham Township,,
Pointe-Claire,45.4566767,-73.8067442
Bedford Heights,41.4143826,-81.5061146
Saint-Lazare,45.1285324,1.2302677
Wilkinsburg,,
Wilkins Township,40.4245852,-79.8218079
Richmond Hill,34.7278674,-87.7169748
West Walnut Estates,41.7125443,-81.2562132
Fitchburg,42.4392026,-84.2777413
Mayfield,51.0193508,0.2619784
Whitchurch-Stouffville,,
Robinson Township,40.4552531,-80.1362596
Saint-Charles-Borromée,,
Côte-Saint-Luc,45.4772716,-73.6637524
Parma,49.1142087,2.2090453
Montara,37.5421616,-122.5160892
University Heights,46.0335315,-114.2156441
Uxbridge,51.5449509,-0.4816672
Elizabeth Township,,
Pittsburgh,40.4416941,-79.9900861
Pickering,54.2452377,-0.7793593
Brunswick,-28.5388850,153.5483811
Prairie Schooner Estates,50.9847311,-113.8773585
Saint-Bernard-de-Lacolle,45.0822480,-73.4123610
Westport,44.6784620,-76.3974630
Broadview Heights,41.3139426,-81.6851271
Macedonia,32.7292139,-94.5274147
Kennedy Township,40.4764251,-80.1015002
Toronto,43.6539630,-79.3872070
Brook Park,40.7082797,-111.9738272
Mont-Royal,45.5105920,-73.6209950
Cuyahoga Falls,41.1348213,-81.4848086
Auburn Center,41.3872757,-81.2462142
Phoenix,-32.7136111,151.6288889
Ajax,31.8765528,-93.3898959
Medina,41.8836792,-5.0433596
Old Orchid,35.0009809,-80.9559096
Twinsburg,41.3125552,-81.4401129
North Huntingdon Township,,
Saint-Jérôme,45.7754260,-74.0131760
Beloeil,45.6044349,-73.2492469
Olmsted Falls,41.3750490,-81.9081937
Whitby,54.4874141,-0.6155111
Auburn Corners,41.3872760,-81.2162130
Hampstead,51.8122786,-0.2910350
North Las Vegas,36.2005843,-115.1215844
Peters Township,,
Mentor,46.4590431,-117.4726809
McCandless,40.5819343,-80.0378692
Bradford Woods,40.6375670,-80.0817249
North Ridgeville,41.3894905,-82.0190321
Columbia Center,39.9983970,-82.6957244
Mayfield Heights,41.5192189,-81.4578960
Caledon,-34.2300000,19.4283330
Carowood,35.0577411,-80.9792391
Saint-Sauveur,47.8036807,6.3837753
Brooklyn Heights,37.1733913,-94.3831353
Morin-Heights,,
Shaker Heights,41.4739419,-81.5370671
Belair,32.2907019,-90.1006414
Canonsburg,40.2625702,-80.1872797
Macedonia,32.7292139,-94.5274147
Mount Horeb,-35.2068285,148.0348274
Saint-Jérôme,45.7754260,-74.0131760
Vaughan,53.1152862,-9.1487092
Havelock,46.4747289,-102.7437754
Prairie Schooner Estates,50.9847311,-113.8773585
Montréal-Est,45.6309797,-73.4977437
Warrensville Heights,41.4353500,-81.5148240
Surprise,59.6166670,-133.4166670
Balzac,51.2156111,-114.0045579
Middleburg Heights,41.3614401,-81.8129120
